,0
0,Chief Executives
1,Chief Sustainability Officers
2,General and Operations Managers
3,Advertising and Promotions Managers
4,Marketing Managers
5,Sales Managers
6,Public Relations and Fundraising Managers
7,Administrative Services Managers
8,Computer and Information Systems Managers
9,Treasurers and Controllers
10,"Financial Managers, Branch or Department"
11,Industrial Production Managers
12,Quality Control Systems Managers
13,Geothermal Production Managers
14,Biofuels Production Managers
15,Biomass Power Plant Managers
16,Hydroelectric Production Managers
17,Purchasing Managers
18,Transportation Managers
19,Storage and Distribution Managers
20,Logistics Managers
21,Compensation and Benefits Managers
22,Human Resources Managers
23,Training and Development Managers
24,Nursery and Greenhouse Managers
25,Farm and Ranch Managers
26,Aquacultural Managers
27,Construction Managers
28,"Education Administrators, Preschool and Childcare Center/Program"
29,"Education Administrators, Elementary and Secondary School"
30,"Education Administrators, Postsecondary"
31,Distance Learning Coordinators
32,Fitness and Wellness Coordinators
33,Architectural and Engineering Managers
34,Biofuels/Biodiesel Technology and Product Development Managers
35,Food Service Managers
36,Funeral Service Managers
37,Gaming Managers
38,Lodging Managers
39,Medical and Health Services Managers
40,Natural Sciences Managers
41,Clinical Research Coordinators
42,Water Resource Specialists
43,Postmasters and Mail Superintendents
44,"Property, Real Estate, and Community Association Managers"
45,Social and Community Service Managers
46,Emergency Management Directors
47,Regulatory Affairs Managers
48,Compliance Managers
49,Investment Fund Managers
50,Supply Chain Managers
51,Security Managers
52,Loss Prevention Managers
53,Wind Energy Operations Managers
54,Wind Energy Project Managers
55,Brownfield Redevelopment Specialists and Site Managers
56,"Agents and Business Managers of Artists, Performers, and Athletes"
57,"Buyers and Purchasing Agents, Farm Products"
58,"Wholesale and Retail Buyers, Except Farm Products"
59,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
60,"Claims Examiners, Property and Casualty Insurance"
61,"Insurance Adjusters, Examiners, and Investigators"
62,"Insurance Appraisers, Auto Damage"
63,Environmental Compliance Inspectors
64,Licensing Examiners and Inspectors
65,Equal Opportunity Representatives and Officers
66,Government Property Inspectors and Investigators
67,Coroners
68,Regulatory Affairs Specialists
69,Cost Estimators
70,Human Resources Specialists
71,Farm Labor Contractors
72,Labor Relations Specialists
73,Logisticians
74,Logistics Engineers
75,Logistics Analysts
76,Management Analysts
77,"Meeting, Convention, and Event Planners"
78,Fundraisers
79,"Compensation, Benefits, and Job Analysis Specialists"
80,Training and Development Specialists
81,Market Research Analysts and Marketing Specialists
82,Energy Auditors
83,Security Management Specialists
84,Customs Brokers
85,Business Continuity Planners
86,Sustainability Specialists
87,Online Merchants
88,Accountants
89,Auditors
90,Assessors
91,"Appraisers, Real Estate"
92,Budget Analysts
93,Credit Analysts
94,Financial Analysts
95,Personal Financial Advisors
96,Insurance Underwriters
97,Financial Examiners
98,Credit Counselors
99,Loan Counselors
100,Loan Officers
101,"Tax Examiners and Collectors, and Revenue Agents"
102,Tax Preparers
103,Financial Quantitative Analysts
104,Risk Management Specialists
105,"Fraud Examiners, Investigators and Analysts"
106,Computer and Information Research Scientists
107,Computer Systems Analysts
108,Informatics Nurse Specialists
109,Information Security Analysts
110,Computer Programmers
111,"Software Developers, Applications"
112,"Software Developers, Systems Software"
113,Web Developers
114,Database Administrators
115,Network and Computer Systems Administrators
116,Computer Network Architects
117,Telecommunications Engineering Specialists
118,Computer User Support Specialists
119,Computer Network Support Specialists
120,Software Quality Assurance Engineers and Testers
121,Computer Systems Engineers/Architects
122,Web Administrators
123,Geospatial Information Scientists and Technologists
124,Geographic Information Systems Technicians
125,Database Architects
126,Data Warehousing Specialists
127,Business Intelligence Analysts
128,Information Technology Project Managers
129,Search Marketing Strategists
130,Video Game Designers
131,Document Management Specialists
132,Actuaries
133,Mathematicians
134,Operations Research Analysts
135,Statisticians
136,Biostatisticians
137,Clinical Data Managers
138,Mathematical Technicians
139,"Architects, Except Landscape and Naval"
140,Landscape Architects
141,Cartographers and Photogrammetrists
142,Surveyors
143,Geodetic Surveyors
144,Aerospace Engineers
145,Agricultural Engineers
146,Biomedical Engineers
147,Chemical Engineers
148,Civil Engineers
149,Transportation Engineers
150,Computer Hardware Engineers
151,Electrical Engineers
152,"Electronics Engineers, Except Computer"
153,Radio Frequency Identification Device Specialists
154,Environmental Engineers
155,Water/Wastewater Engineers
156,Industrial Safety and Health Engineers
157,Fire-Prevention and Protection Engineers
158,Product Safety Engineers
159,Industrial Engineers
160,Human Factors Engineers and Ergonomists
161,Marine Engineers
162,Marine Architects
163,Materials Engineers
164,Mechanical Engineers
165,Fuel Cell Engineers
166,Automotive Engineers
167,"Mining and Geological Engineers, Including Mining Safety Engineers"
168,Nuclear Engineers
169,Petroleum Engineers
170,Biochemical Engineers
171,Validation Engineers
172,Energy Engineers
173,Manufacturing Engineers
174,Mechatronics Engineers
175,Microsystems Engineers
176,Photonics Engineers
177,Robotics Engineers
178,Nanosystems Engineers
179,Wind Energy Engineers
180,Solar Energy Systems Engineers
181,Architectural Drafters
182,Civil Drafters
183,Electronic Drafters
184,Electrical Drafters
185,Mechanical Drafters
186,Aerospace Engineering and Operations Technicians
187,Civil Engineering Technicians
188,Electronics Engineering Technicians
189,Electrical Engineering Technicians
190,Electro-Mechanical Technicians
191,Robotics Technicians
192,Environmental Engineering Technicians
193,Industrial Engineering Technicians
194,Mechanical Engineering Technicians
195,Automotive Engineering Technicians
196,Non-Destructive Testing Specialists
197,Electrical Engineering Technologists
198,Electromechanical Engineering Technologists
199,Electronics Engineering Technologists
200,Industrial Engineering Technologists
201,Manufacturing Engineering Technologists
202,Mechanical Engineering Technologists
203,Photonics Technicians
204,Manufacturing Production Technicians
205,Nanotechnology Engineering Technologists
206,Nanotechnology Engineering Technicians
207,Surveying Technicians
208,Mapping Technicians
209,Animal Scientists
210,Food Scientists and Technologists
211,Soil and Plant Scientists
212,Biologists
213,Biochemists and Biophysicists
214,Microbiologists
215,Zoologists and Wildlife Biologists
216,Bioinformatics Scientists
217,Molecular and Cellular Biologists
218,Geneticists
219,Soil and Water Conservationists
220,Range Managers
221,Park Naturalists
222,Foresters
223,Epidemiologists
224,"Medical Scientists, Except Epidemiologists"
225,Astronomers
226,Physicists
227,Atmospheric and Space Scientists
228,Chemists
229,Materials Scientists
230,"Environmental Scientists and Specialists, Including Health"
231,Climate Change Analysts
232,Environmental Restoration Planners
233,Industrial Ecologists
234,"Geoscientists, Except Hydrologists and Geographers"
235,Hydrologists
236,Remote Sensing Scientists and Technologists
237,Economists
238,Environmental Economists
239,Survey Researchers
240,School Psychologists
241,Clinical Psychologists
242,Counseling Psychologists
243,Industrial-Organizational Psychologists
244,Neuropsychologists and Clinical Neuropsychologists
245,Sociologists
246,Urban and Regional Planners
247,Anthropologists
248,Archeologists
249,Geographers
250,Historians
251,Political Scientists
252,Transportation Planners
253,Agricultural Technicians
254,Food Science Technicians
255,Biological Technicians
256,Chemical Technicians
257,Geophysical Data Technicians
258,Geological Sample Test Technicians
259,Nuclear Equipment Operation Technicians
260,Nuclear Monitoring Technicians
261,Social Science Research Assistants
262,City and Regional Planning Aides
263,"Environmental Science and Protection Technicians, Including Health"
264,Forensic Science Technicians
265,Forest and Conservation Technicians
266,Quality Control Analysts
267,Precision Agriculture Technicians
268,Remote Sensing Technicians
269,Substance Abuse and Behavioral Disorder Counselors
270,"Educational, Guidance, School, and Vocational Counselors"
271,Marriage and Family Therapists
272,Mental Health Counselors
273,Rehabilitation Counselors
274,"Child, Family, and School Social Workers"
275,Healthcare Social Workers
276,Mental Health and Substance Abuse Social Workers
277,Health Educators
278,Probation Officers and Correctional Treatment Specialists
279,Social and Human Service Assistants
280,Community Health Workers
281,Clergy
282,"Directors, Religious Activities and Education"
283,Lawyers
284,Judicial Law Clerks
285,"Administrative Law Judges, Adjudicators, and Hearing Officers"
286,"Arbitrators, Mediators, and Conciliators"
287,"Judges, Magistrate Judges, and Magistrates"
288,Paralegals and Legal Assistants
289,Court Reporters
290,"Title Examiners, Abstractors, and Searchers"
291,"Business Teachers, Postsecondary"
292,"Computer Science Teachers, Postsecondary"
293,"Mathematical Science Teachers, Postsecondary"
294,"Architecture Teachers, Postsecondary"
295,"Engineering Teachers, Postsecondary"
296,"Agricultural Sciences Teachers, Postsecondary"
297,"Biological Science Teachers, Postsecondary"
298,"Forestry and Conservation Science Teachers, Postsecondary"
299,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
300,"Chemistry Teachers, Postsecondary"
301,"Environmental Science Teachers, Postsecondary"
302,"Physics Teachers, Postsecondary"
303,"Anthropology and Archeology Teachers, Postsecondary"
304,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
305,"Economics Teachers, Postsecondary"
306,"Geography Teachers, Postsecondary"
307,"Political Science Teachers, Postsecondary"
308,"Psychology Teachers, Postsecondary"
309,"Sociology Teachers, Postsecondary"
310,"Health Specialties Teachers, Postsecondary"
311,"Nursing Instructors and Teachers, Postsecondary"
312,"Education Teachers, Postsecondary"
313,"Library Science Teachers, Postsecondary"
314,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
315,"Law Teachers, Postsecondary"
316,"Social Work Teachers, Postsecondary"
317,"Art, Drama, and Music Teachers, Postsecondary"
318,"Communications Teachers, Postsecondary"
319,"English Language and Literature Teachers, Postsecondary"
320,"Foreign Language and Literature Teachers, Postsecondary"
321,"History Teachers, Postsecondary"
322,"Philosophy and Religion Teachers, Postsecondary"
323,Graduate Teaching Assistants
324,"Home Economics Teachers, Postsecondary"
325,"Recreation and Fitness Studies Teachers, Postsecondary"
326,"Vocational Education Teachers, Postsecondary"
327,"Preschool Teachers, Except Special Education"
328,"Kindergarten Teachers, Except Special Education"
329,"Elementary School Teachers, Except Special Education"
330,"Middle School Teachers, Except Special and Career/Technical Education"
331,"Career/Technical Education Teachers, Middle School"
332,"Secondary School Teachers, Except Special and Career/Technical Education"
333,"Career/Technical Education Teachers, Secondary School"
334,"Special Education Teachers, Preschool"
335,"Special Education Teachers, Kindergarten and Elementary School"
336,"Special Education Teachers, Middle School"
337,"Special Education Teachers, Secondary School"
338,Adapted Physical Education Specialists
339,Adult Basic and Secondary Education and Literacy Teachers and Instructors
340,Self-Enrichment Education Teachers
341,Tutors
342,Archivists
343,Curators
344,Museum Technicians and Conservators
345,Librarians
346,Library Technicians
347,Audio-Visual and Multimedia Collections Specialists
348,Farm and Home Management Advisors
349,Instructional Coordinators
350,Instructional Designers and Technologists
351,Teacher Assistants
352,Art Directors
353,Craft Artists
354,"Fine Artists, Including Painters, Sculptors, and Illustrators"
355,Multimedia Artists and Animators
356,Commercial and Industrial Designers
357,Fashion Designers
358,Floral Designers
359,Graphic Designers
360,Interior Designers
361,Merchandise Displayers and Window Trimmers
362,Set and Exhibit Designers
363,Actors
364,Producers
365,"Directors- Stage, Motion Pictures, Television, and Radio"
366,Program Directors
367,Talent Directors
368,Technical Directors/Managers
369,Athletes and Sports Competitors
370,Coaches and Scouts
371,"Umpires, Referees, and Other Sports Officials"
372,Dancers
373,Choreographers
374,Music Directors
375,Music Composers and Arrangers
376,Singers
377,"Musicians, Instrumental"
378,Radio and Television Announcers
379,Public Address System and Other Announcers
380,Broadcast News Analysts
381,Reporters and Correspondents
382,Public Relations Specialists
383,Editors
384,Technical Writers
385,Copy Writers
386,"Poets, Lyricists and Creative Writers"
387,Interpreters and Translators
388,Audio and Video Equipment Technicians
389,Broadcast Technicians
390,Radio Operators
391,Sound Engineering Technicians
392,Photographers
393,"Camera Operators, Television, Video, and Motion Picture"
394,Film and Video Editors
395,Chiropractors
396,"Dentists, General"
397,Oral and Maxillofacial Surgeons
398,Orthodontists
399,Prosthodontists
400,Dietitians and Nutritionists
401,Optometrists
402,Pharmacists
403,Anesthesiologists
404,Family and General Practitioners
405,"Internists, General"
406,Obstetricians and Gynecologists
407,"Pediatricians, General"
408,Psychiatrists
409,Surgeons
410,Allergists and Immunologists
411,Dermatologists
412,Hospitalists
413,Neurologists
414,Nuclear Medicine Physicians
415,Ophthalmologists
416,Pathologists
417,Physical Medicine and Rehabilitation Physicians
418,Preventive Medicine Physicians
419,Radiologists
420,Sports Medicine Physicians
421,Urologists
422,Physician Assistants
423,Anesthesiologist Assistants
424,Podiatrists
425,Occupational Therapists
426,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
427,Physical Therapists
428,Radiation Therapists
429,Recreational Therapists
430,Art Therapists
431,Music Therapists
432,Respiratory Therapists
433,Speech-Language Pathologists
434,Exercise Physiologists
435,Veterinarians
436,Registered Nurses
437,Acute Care Nurses
438,Advanced Practice Psychiatric Nurses
439,Critical Care Nurses
440,Clinical Nurse Specialists
441,Nurse Anesthetists
442,Nurse Midwives
443,Nurse Practitioners
444,Audiologists
445,Acupuncturists
446,Naturopathic Physicians
447,Orthoptists
448,Medical and Clinical Laboratory Technologists
449,Cytogenetic Technologists
450,Cytotechnologists
451,Histotechnologists and Histologic Technicians
452,Medical and Clinical Laboratory Technicians
453,Dental Hygienists
454,Cardiovascular Technologists and Technicians
455,Diagnostic Medical Sonographers
456,Nuclear Medicine Technologists
457,Radiologic Technologists
458,Magnetic Resonance Imaging Technologists
459,Emergency Medical Technicians and Paramedics
460,Dietetic Technicians
461,Pharmacy Technicians
462,Psychiatric Technicians
463,Respiratory Therapy Technicians
464,Surgical Technologists
465,Veterinary Technologists and Technicians
466,Ophthalmic Medical Technicians
467,Licensed Practical and Licensed Vocational Nurses
468,Medical Records and Health Information Technicians
469,"Opticians, Dispensing"
470,Orthotists and Prosthetists
471,Hearing Aid Specialists
472,Neurodiagnostic Technologists
473,Ophthalmic Medical Technologists
474,Radiologic Technicians
475,Surgical Assistants
476,Occupational Health and Safety Specialists
477,Occupational Health and Safety Technicians
478,Athletic Trainers
479,Genetic Counselors
480,Midwives
481,Home Health Aides
482,Psychiatric Aides
483,Nursing Assistants
484,Orderlies
485,Occupational Therapy Assistants
486,Occupational Therapy Aides
487,Physical Therapist Assistants
488,Physical Therapist Aides
489,Massage Therapists
490,Dental Assistants
491,Medical Assistants
492,Medical Equipment Preparers
493,Medical Transcriptionists
494,Pharmacy Aides
495,Veterinary Assistants and Laboratory Animal Caretakers
496,Phlebotomists
497,Speech-Language Pathology Assistants
498,Endoscopy Technicians
499,First-Line Supervisors of Correctional Officers
500,First-Line Supervisors of Police and Detectives
501,Municipal Fire Fighting and Prevention Supervisors
502,Forest Fire Fighting and Prevention Supervisors
503,Municipal Firefighters
504,Forest Firefighters
505,Fire Inspectors
506,Fire Investigators
507,Forest Fire Inspectors and Prevention Specialists
508,Bailiffs
509,Correctional Officers and Jailers
510,Police Detectives
511,Police Identification and Records Officers
512,Criminal Investigators and Special Agents
513,Immigration and Customs Inspectors
514,Intelligence Analysts
515,Fish and Game Wardens
516,Parking Enforcement Workers
517,Police Patrol Officers
518,Sheriffs and Deputy Sheriffs
519,Transit and Railroad Police
520,Animal Control Workers
521,Private Detectives and Investigators
522,Gaming Surveillance Officers and Gaming Investigators
523,Security Guards
524,Crossing Guards
525,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
526,Transportation Security Screeners
527,Retail Loss Prevention Specialists
528,Chefs and Head Cooks
529,First-Line Supervisors of Food Preparation and Serving Workers
530,"Cooks, Fast Food"
531,"Cooks, Institution and Cafeteria"
532,"Cooks, Private Household"
